Name                    ,aptitude               ,snap                      ,flatpak                                   ,Description
Red Eclipse Legacy      ,                       ,                          ,net.redeclipse.RedEclipse-Legacy          ,First-person shooter with agile gameplay and built-in editor
Remmina                 ,remmina                ,remmina                   ,org.remmina.Remmina                       ,GTK+ Remote Desktop Client
Rhythmbox               ,rhythmbox              ,                          ,org.gnome.Rhythmbox3                      ,music player and organizer for GNOME
Rhythmbox (all)         ,rhythmbox-*            ,                          ,                                          ,Rhythmbox complements
RISC-V CPU Simulator    ,riscemu                ,                          ,cz.cvut.edu.comparch.qtrvsim              ,RISC-V CPU simulator for education purposes
Ruby                    ,ruby                   ,                          ,                                          ,Interpreter of object-oriented scripting language Ruby (default version)
Scilab                  ,scilab                 ,                          ,org.scilab.Scilab                         ,Scientific software package for numerical computations
Secrets                 ,                       ,secrets                   ,org.gnome.World.Secrets                   ,Gestionar sus contraseñas
Shortwave               ,                       ,shortwave                 ,de.haeckerfelix.Shortwave                 ,Escuchar la radio por Internet
Shotcut                 ,shotcut                ,shotcut                   ,org.shotcut.Shotcut                       ,video editor
Signal                  ,                       ,                          ,org.signal.Signal                         ,Private messenger
SimulIDE                ,simulide               ,                          ,com.simulide.simulide                     ,simple real time electronic circuit simulator
SongRec                 ,                       ,                          ,com.github.marinm.songrec                 ,An open-source unofficial Shazam client for Linux written in Rust.
Space Cadet Pinball     ,                       ,space-cadet-pinball       ,com.github.k4zmu2a.spacecadetpinball      ,Game engine for Space Cadet Pinball
Spotify                 ,                       ,spotify                   ,com.spotify.Client                        ,Online music streaming service
Spyder                  ,spyder                 ,                          ,org.spyder_ide.spyder                     ,Richly-featured Python IDE
sudo                    ,sudo                   ,                          ,                                          ,Provide limited super user privileges to specific users
SuperTux                ,supertux               ,supertux                  ,org.supertuxproject.SuperTux              ,A jump-and-run game starring Tux the Penguin
SuperTuxKart            ,supertuxkart           ,supertuxkart              ,net.supertuxkart.SuperTuxKart             ,Un juego de carreras de karts en 3D de código abierto.
ssh                     ,ssh                    ,                          ,                                          ,secure shell client and server (metapackage)
Stellarium              ,stellarium             ,stellarium-daily          ,org.stellarium.Stellarium                 ,real-time photo-realistic sky generator
Prolog                  ,swi-prolog             ,                          ,                                          ,ISO/Edinburgh-style Prolog interpreter
Tango Icon Theme        ,tango-icon-theme       ,                          ,                                          ,Tango icon library
tcpdump                 ,tcpdump                ,                          ,                                          ,command-line network traffic analyzer
Teams                   ,                       ,teams-for-linux           ,com.github.IsmaelMartinez.teams_for_linux ,Unofficial Microsoft Teams client for Linux using Electron
